artigos|macrotemas|nomes_normas
norma fora de padrao|alimentos|Portaria 11_1987
norma fora de padrao|alimentos|Portaria 38_1989
norma fora de padrao|medicamentos|Portaria 108_1991
norma fora de padrao|agrotóxicos|Portaria 03_1992
norma fora de padrao|alimentos|Portaria 133_1992
" Aprovar, na forma dos textos anexos, o ""Regulamento Técnico para Inspeção Sanitária de Alimentos"" - COD-100 a 001.0001 , as ""Diretrizes para o Estabelecimento de Boas Práticas de Produção e de Prestação de Serviços na Área' de Alimentos"" - COD-100 a 002.0001, e o ""Regulamento Técnico para o Estabelecimento de Padrão de Identidade e Qualidade (PIQ's) para Serviços e Produtos na Área de Alimentos . COO-100 a 003.0001 e COO-100 a 004.0001. Art.22 Determinar que as estabelecimentos relacionados à área de alimentos adotem, sob responsabilidade técnica, as suas próprias Boas Práticas de Produção e/ou Prestação de Serviços, seus Programas de Qualidade, e atendam aos PIQ's para Produtos e Serviços na Área de Alimentos, em consonância com o estabelecido na presente Portaria."|alimentos|Portaria 1428_1993
o Aprovar o padrão de identidade e qualidade para o sal Hipossódico|alimentos|Portaria 54_1995
norma fora de padrao|alimentos|Portaria 72_1995
o Fica sujeita a protocolização prévia na Secretaria de Vigilância Sanitária, a solicitação de Certidão, relativa a registro de produtos, de que trata a Lei no 6360/76, a título de defesa de direitos e/ou esclarecimento de situação de interesse pessoal.|temas transversais|Portaria 86_1995
o A solicitação de Certidão, de que trata o artigo anterior, deverá ser fundamentada e instruída com os seguintes documentos:|temas transversais|Portaria 86_1995
o A Certidão será expedida em formulário próprio, da Secretaria de Vigilância Sanitária, onde constará o fim específico para qual foi solicitada.|temas transversais|Portaria 86_1995
' Aprovar o uso da Goma Konjak com as funções de espessante e estabilizante nos alimentos abaixo especificados obedecidos os respectivos Emites.|alimentos|Portaria 13_1996
o. As escovas dentais estão isentas de registro na Secretaria de Vigilância Sanitária, continuando, porém sujeitas ao regime de Vigilância Sanitária para os demais efeitos da Lei no 6.360, de 23 de setembro de 1976, e o Decreto-Lei no 79.094, de 05 de janeiro de 1977, e a legislação correlata complementar.|alimentos|Portaria 97_1996
o. A comercialização das escovas dentais a que se refere esta Portaria no território nacional fica condicionada à comunicação previa pelo fabricante, importador ou distribuidor, ao Departamento Técnico Normativo-DTEN, por escrito, de que os produtos atendem ao disposto nesta Portaria e seu anexo.|alimentos|Portaria 97_1996
 • Aprovar o regulamento técnico sobre embalagens e equipamentos de vidro e cerâmica em contato com alimentos, conforme Anexo da presente Portaria.|alimentos|Portaria 27_1996
 Estabelecer às empresas que atuam nesta área o prazo de 180 dias, a contar da data de publicação desta Podada para adequação de seus produtos.|alimentos|Portaria 27_1996
' Aprovar as Normas Técnicas de Produção e Controle de Qualidade dos Soros Antiofídicos|medicamentos|Portaria 174_1996
' Estabelecer o prazo de 30 (trinta) dias para a apresentação de sugest6es, com vistas ao|medicamentos|Portaria 174_1996
° Aprovar uNormas T6cn1cas de Fabricação e Controle de Qualidade da Vacina contra a Raiva Uso Humano (CCL) Fuenzalida· Pala<:los ModIflClda, na confonnidade do anexo desta Portaria.|medicamentos|Portaria 176_1996
""" Estabelecer o prNo de 3D (trinta) dias para a apresentação de sugestões, com vistas ao aprimoramento das referidas nonnas."|medicamentos|Portaria 176_1996
° Aprovar o uso do Sistema Lactoperoxidase, com a função de coadjuvante de tecnologia, para controle de microorganismos no processo de fabricação de alimentos semi-preparados e de molhos aquosos que tenham pH compreendido entre 3.5 e 8.0, tratados termicamente por processo tecnológico adequado.|alimentos|Portaria 161_1997
 9 Aprovar as Normas Gerais para Produtos para Jardinagem Amadora, elaborada pela Comissão Técnica de Assessoramento na área de Saneantes, instituída pela Portaria Ministerial n2 1277, de 14 de julho de 1995.|saneantes|Portaria 322_1997
Q A presente Portaria abrange os produtos denominados de inseticidas, fungicidas, formicidas, herbicidas, moluscicidas, nematicidas, acaricidas, bactericidas, reguladores de crescimento, abrilhantador de folhas e outros produtos de origem química ou biológica para uso em jardinagem amadora de venda direta ao consumidor.|saneantes|Portaria 322_1997
 Conceder o prazo de 160 dias para que os produtos anteriormente registrados se adequem ao disposto nesta Portaria.|saneantes|Portaria 322_1997
 Revogar a Portaria n 9 02180 DISAD, publicada no Diário Oficial da União em 15104180 e demais disposições em contrário.|saneantes|Portaria 322_1997
 0 Aprovar o Regulamento Técnico: Condições Higiênico-Sanitárias e de Boas Práticas de Fabricação para Estabelecimentos Produtores/lndustrializadores de Alimentos, conforme Anexo 1.|alimentos|Portaria 326_1997
° Aprovar a extensão de uso dos aditivos abaixo, com suas respectivas funções, em preparações para infusões ou decocçóes (châs), obedecidos os devidos limites.|alimentos|Portaria 554_1997
norma fora de padrao|alimentos|Portaria 28_1998
o Aprovar o Regulamento Técnico referente a Alimentos para Fins Especiais, constante do anexo desta Portaria.|alimentos|Portaria 29_1998
o As empresas têm o prazo de 180 (cento e oitenta) dias, a contar da data da publicação deste Regulamento, para se adequarem ao mesmo.|alimentos|Portaria 29_1998
o O descumprimento aos termos desta Portaria constitui infração sanitária sujeita aos dispositivos da Lei no 6.437, de 20 de agosto de 1977 e demais disposições aplicáveis.|alimentos|Portaria 29_1998
""" - Aprovar o Regulamento Técnico referente a Alimentos"|alimentos|Portaria 30_1998
° - O descunuprirnento aos termos desta Portaria constitui|alimentos|Portaria 30_1998
norma fora de padrao|alimentos|Portaria 34_1998
norma fora de padrao|alimentos|Portaria 35_1998
o Aprovar o Regulamento Técnico referente a Alimentos à Base de Cereais para Alimentação Infantil.|alimentos|Portaria 36_1998
o As empresas têm o prazo de 180 (cento e oitenta) dias, a contar da data da publicação deste Regulamento, para se adequarem ao mesmo.|alimentos|Portaria 36_1998
o O descumprimento aos termos desta Portaria constitui infração sanitária sujeita aos dispositivos da Lei n.o 6.437, de 20 de agosto de 1977 e demais disposições aplicáveis|alimentos|Portaria 36_1998
norma fora de padrao|alimentos|Portaria 39_1998
° As empresas têm o prazo de 180 (cento e oitenta)|alimentos|Portaria 31_1998
° O descumprimento aos termos desta Portaria constitui|alimentos|Portaria 31_1998
o Aprovar o Regulamento Técnico para fixar os requisitos mínimos exigidos para a Terapia de Nutrição Parenteral, constante do texto Anexo desta Portaria.|serviços de saúde|Portaria 272_1998
o Conceder o prazo de 180 dias para que as Unidades Hospitalares e Empresas Prestadoras de Bens e/ou Serviços se adequem ao disposto nesta Portaria.|serviços de saúde|Portaria 272_1998
norma fora de padrao|cosméticos|Portaria 295_1998
o - Estabelecer que, para efeito de Registro ou de Alteração de Registro de Produtos de Higiene Pessoal, Cosméticos e Perfumes, deve ser adotada, completamente à nomenclatura de origem, as nomenclaturas mencionadas nos itens seguintes:|cosméticos|Portaria 296_1998
o - Determinar que as solicitações de registro de produtos e suas alterações a serem apresentadas pelos interessados à SVS/MS atendam ao previsto na presente Portaria.|cosméticos|Portaria 296_1998
o Para os efeitos deste Regulamento e para a sua adequada aplicação, são adotadas as seguintes definições:|temas transversais|Portaria 344_1998
o Para extrair, produzir, fabricar, beneficiar, distribuir, transportar, preparar, manipular, fracionar, importar, exportar, transformar, embalar, reembalar, para qualquer fim, as substâncias constantes das listas deste Regulamento Técnico (ANEXO I) e de suas atualizações, ou os medicamentos que as contenham, é obrigatória a obtenção de Autorização Especial concedida pela Secretaria de Vigilância Sanitária do Ministério da Saúde.|temas transversais|Portaria 344_1998
o A petição de concessão de Autorização Especial deverá ser instruída com os seguintes documentos e informações: (Revogado pela Resolução – RDC no 16, de 01 de abril de 2014)|temas transversais|Portaria 344_1998
o Ficam proibidas a produção, fabricação, importação, exportação, comércio e uso de substâncias e medicamentos proscritos.|temas transversais|Portaria 344_1998
o A Autorização Especial é também obrigatória para as atividades de plantio, cultivo, e colheita de plantas das quais possam ser extraídas substâncias entorpecentes ou psicotrópicas. (Revogado pela Resolução - RDC No 16, de 01 de abril de 2014)|temas transversais|Portaria 344_1998
o A Secretaria de Vigilância Sanitária do Ministério da Saúde dará conhecimento da concessão da Autorização Especial de que tratam os artigos 2o e 5o deste Regulamento Técnico à Divisão de Repressão a Entorpecentes do Departamento de Policia Federal do Ministério da Justiça. (Revogada pela Resolução - RDC No 16, de 01 de abril de 2014)|temas transversais|Portaria 344_1998
o A concessão de Autorização Especial para os estabelecimentos de ensino, pesquisas e trabalhos médicos e científicos será destinada à cada plano de aula ou projeto de pesquisa e trabalho, respectivamente. A referida Autorização Especial, deverá ser requerida pelo seu dirigente ao Órgão competente do Ministério da Saúde, mediante petição instruída com os seguintes documentos:|temas transversais|Portaria 344_1998
o Ficam isentos de Autorização Especial as empresas, instituições e órgãos na execução das seguintes atividades e categorias a eles vinculadas:|temas transversais|Portaria 344_1998
° A solicitação de cancelamento da Autorização Especial, por parte da empresa, deverá ser feita mediante petição conforme modelo padronizado, instruindo documentos constantes da Instrução Normativa deste Regulamento Técnico. (Revogado pela Resolução - RDC No 16, de 01 de abril de 2014)|temas transversais|Portaria 344_1998
 A Autorização Especial concedida pela Secretária de Vigilância Sanitária do Ministério da Saúde, poderá ser suspensa ou cancelada quando ficar comprovada irregularidade que configure infração sanitária praticada pelo estabelecimento conforme o disposto na legislação em vigor. (Revogado pela Resolução - RDC No 16, de 01 de abril de 2014)|temas transversais|Portaria 344_1998
" A empresa importadora fica obrigada a solicitar à Secretaria de Vigilância Sanitária do Ministério da Saúde, a fixação de Cota Anual de Importação de substâncias constantes das listas ""A1"" e ""A2"" (entorpecentes), ""A3"", ""B1"" e ""B2"" ( psicotrópicas) ""C3"" (imunossupressoras) e ""D1"" (precursoras) deste Regulamento Técnico e de suas atualizações, requeridas até 30 (trinta) de novembro de cada ano, para uso no ano seguinte."|temas transversais|Portaria 344_1998
" A empresa importadora fica obrigada a solicitar à Secretaria de Vigilância Sanitária do Ministério da Saúde, a fixação de Cota Anual de Importação de substâncias constantes das listas ""A1"" e ""A2"" (entorpecentes), ""A3"", ""B1"" e ""B2"" ( psicotrópicas) ""C3"" (imunossupressoras) e ""D1"" (precursoras) deste Regulamento Técnico e de suas atualizações, requeridas até 30 (trinta) de novembro de cada ano, para uso no ano seguinte."|temas transversais|Portaria 344_1998
 Excepcionalmente a empresa, quando devidamente justificado, poderá solicitar Cota Suplementar, das substâncias constantes das listas citadas no artigo anterior, devendo sua entrada, no país, ocorrer até o final do 1o trimestre do ano seguinte da sua concessão.|temas transversais|Portaria 344_1998
 Excepcionalmente a empresa, quando devidamente justificado, poderá solicitar Cota Suplementar, das substâncias constantes das listas citadas no artigo anterior, devendo sua entrada, no país, ocorrer até o final do 1o trimestre do ano seguinte da sua concessão.|temas transversais|Portaria 344_1998
 Para importar e exportar substâncias constantes das listas deste Regulamento Técnico e de suas atualizações bem como os medicamentos que as contenham, a empresa dependerá de anuência prévia da Secretaria de Vigilância Sanitária do Ministério da Saúde, na L.I. - Licenciamento de Importação ou R.O.E. - Registro de Operações de Exportação, emitida em formulário próprio ou por procedimento informatizado.|temas transversais|Portaria 344_1998
" A importação de substâncias constantes das listas ""A1"" e ""A2"" (entorpecentes), das listas ""A3"", ""B1"" e ""B2"" (psicotrópicas) incluídas neste Regulamento Técnico e nas suas atualizações, e os medicamentos que as contenham, dependerá da emissão de Autorização de Importação (ANEXO II) da Secretaria de Vigilância Sanitária do Ministério da Saúde."|temas transversais|Portaria 344_1998
 Deferida a cota anual de importação, a empresa interessada deverá requerer a Autorização de Importação, até 31 (trinta e um) de outubro de cada ano.|temas transversais|Portaria 344_1998
 Deferida a cota anual de importação, a empresa interessada deverá requerer a Autorização de Importação, até 31 (trinta e um) de outubro de cada ano.|temas transversais|Portaria 344_1998
 A Autorização de Importação e o Certificado de Não Objeção, ambos de caráter intransferível, serão expedidos em 6 (seis) e 5 (cinco) vias, respectivamente, podendo os mesmos serem emitidos por processo informatizado, ou não, os quais terão a seguinte destinação:|temas transversais|Portaria 344_1998
 A Autorização de Importação da cota anual e da cota suplementar terá validade até o 1o (primeiro) trimestre do ano seguinte da sua emissão.|temas transversais|Portaria 344_1998
 A Autorização de Importação da cota anual e da cota suplementar terá validade até o 1o (primeiro) trimestre do ano seguinte da sua emissão.|temas transversais|Portaria 344_1998
" Para exportar substâncias constantes das listas ""A1"" e ""A2"" (entorpecentes), ""A3"", ""B1""e ""B2"" (psicotrópicas) e da lista ""D1"" (percursoras), incluídas neste Regulamento Técnico e nas suas atualizações, e os medicamentos que as contenham, o interessado devidamente habilitado perante Secretaria de Vigilância Sanitária do Ministério da Saúde, e ao Órgão equivalente do Estado e Distrito Federal deverá requerer a Autorização de Exportação (ANEXO IV), devendo ainda apresentar a Autorização expedida pelo órgão competente do país importador."|temas transversais|Portaria 344_1998
 A Autorização de Exportação e o Certificado de Não Objeção, ambos de caráter intransferível, serão expedidos em 6 (seis) e 5 (cinco) vias, respectivamente, podendo os mesmos serem emitidos por processo informatizado, ou não, os quais terão a seguinte destinação:|temas transversais|Portaria 344_1998
" A importação e exportação da substância da lista ""C3"" (imunosupressoras) Ftalimidoglutarimida (Talidomida), seguirá o previsto em legislação sanitária específica em vigor. (Revogado pela Resolução - RDC No 11, de 22 de março de 2011)"|temas transversais|Portaria 344_1998
