Assunto/Ementa|Macrotema atual|Tema Biblioteca|Status do Ato|Citadora
Dispõe sobre a manipulação, receituário industrialização e venda de produtos utilizados em homeopatia.|Medicamentos|Registro e pós-registro de medicamentos dinamizados|Vigente com alterações|Portaria 17/1966
Permissão de emprego de Polivinil Pirrolidona (PVP), na clarificação de bebidas alcoólicas e não alcoólicas e dos vinagres.|Alimentos||Revogado|RE 05/1970
As gomas de mascar estão compreendidas entre os produtos destinados a serem mascados para os fins a que se refere o artigo 55 do Decreto-Lei nº 986/69.|Alimentos|Requisitos sanitários para balas, bombons e gomas de marcas|Vigente|RE 03/1976
Dispõe sobre a vigilância sanitária a que ficam sujeitos os medicamentos, as drogas, os insumos farmacêuticos e correlatos, cosméticos, saneantes e outros produtos, e dá outras providências.|Temas transversais|Leis e decretos gerais sobre vigilância sanitária|Vigente com alterações|Lei 6360/1976
DITA NORMAS PARA FABRICAÇÃO DE OBJETOS UTILIZADOS POR CRIANÇAS LACTANTES TAIS COMO: CHUPETAS, MORDEDORES, CHOCALHOS, MAMADEIRAS, ETC. E DA OUTRAS PROVIDENCIAS|Alimentos||Revogado|Portaria 117/1981
Proíbe a fabricação e comercialização de saneantes domissanitários fortemente alcalinos apresentados sob a forma de líquido premido (aerossol), ou líquido para pulverização.|Saneantes||Revogado|Portaria 08/1987
"Determina que a expressão ""qualquer alimento"" constante da Tabela II do Decreto 55.871/65, que estabelece o limite máximo de tolerância de 0,10 ppm ou mg/kg, para o cromo se refere ao resultado da análise no produto a ser consumido."|Alimentos|Contaminantes em alimentos|Vigente|Portaria 11/1987
"Aprova as Normas e os Padrões de Identidade e Qualidade para o ''Suco de Caju Alto Teor de Polpa""."|Alimentos||Revogado|Portaria 24/1987
"OS PRODUTOS A BASE DE EDULCORANTES, COM OU SEM ADIÇÃO DE AÇUCAR PASSA A DENOMINAR-SE ""ADOÇANTE DIETETICOS""."|Alimentos||Revogado|Portaria 25/1988
Altera a Portaria nº 08, de 10/04/1987, que proíbe a fabricação e comercialização de saneantes domissanitários fortemente alcalinos apresentados sob a forma de líquido premido (aerossol), ou líquido para pulverização.|Saneantes||Revogado|Portaria 13/1988
Determina o registro de produtos saneantes domissanitários com finalidade antimicrobiana seja procedido de acordo com as normas regulamentares.|Saneantes||Revogado|Portaria 15/1988
Aprova a revisão das Tabelas I, II, IV e V referente a Aditivos Intencionais, bem como os Anexos I, II, IV e VII, todas do Decreto nº 55.871, de 26/03/1965.|Alimentos|Requisitos sanitários para aditivos alimentares e coadjuvantes de tecnologia|Vigente com alterações|RE 04/1988
DEFINE E CLASSIFICA OS ALIMENTOS PARA DIETA ENTERAL E ESTABELECE NORMAS RELATIVAS AOS SEUS FATORES ESSÊNCIAIS DE COMPOSIÇÃO E QUALIDADE, ROTULAGEM, INDUSTRIALIZAÇÃO E COMERCIALIZAÇÃO.|Alimentos||Revogado|Portaria 08/1989
ESTENDE AOS ALIMENTOS ESPECIFICADOS A AUTORIZAÇÃO DE USO DO TRATAMENTO POR IRRADIAÇÃO, DE QUE TRATA A PORTARIA SNVS/DINAL 09, DE 08 DE MARÇO DE 1985.|Alimentos||Revogado|Portaria 30/1989
Prorrogar até 31 de dezembro de 1989 a vigência da Portaria nº 24, de 16 de setembro de 1987.|Alimentos||Vigente|Portaria 31/1989
Relaciona os alimentos que passarão a fazer uso do aditivo Goma Carragena.|Alimentos|Requisitos sanitários para aditivos alimentares e coadjuvantes de tecnologia|Vigente com alterações|Portaria 38/1989
Prorroga até 30/06/1990 a vigência da Portaria nº  24, de 16/09/1987.|Alimentos||Revogado|Portaria 01/1990
Prorroga até 31 de outubro de 1992 a vigência da portaria nº 24, de 16 de setembro de 1987|Alimentos||Revogado|Portaria 15/1990
Dispõe sobre as normas e requisitos técnicos, a que ficam sujeitos os produtos absorventes higiênicos descartáveis (absorventes íntimos, absorventes de leite materno e fraldas).|Cosméticos|Absorventes Higiênicos Descartáveis, de Uso Externo e Intravaginal|Revogado|Portaria 1480/1990
