cluster_id|norma
112|INC 02/2018
120|IN 01/2007
134|IN 01/2008
120|IN 01/2010
120|IN 01/2012
134|IN 01/2014
52|IN 01/2015
110|IN 02/2007
105|IN 02/2010
99|IN 02/2011
134|IN 02/2013
8|IN 02/2014
115|IN 02/2015
2|IN 03/2007
120|IN 03/2008
120|IN 03/2009
99|IN 03/2011
147|IN 03/2013
28|IN 03/2015
120|IN 04/2007
118|IN 04/2009
134|IN 04/2011
99|IN 04/2015
134|IN 05/2007
134|IN 05/2008
3|IN 05/2010
158|IN 05/2011
134|IN 05/2015
120|IN 06/2007
120|IN 06/2008
120|IN 06/2009
134|IN 06/2013
120|IN 06/2014
147|IN 06/2015
83|IN 07/2007
99|IN 07/2009
99|IN 07/2010
83|IN 07/2011
133|IN 07/2013
99|IN 08/2007
99|IN 08/2009
134|IN 08/2010
105|IN 08/2016
25|IN 09/2007
135|IN 09/2010
99|IN 09/2013
120|IN 10/2007
134|IN 10/2009
83|IN 11/2007
120|IN 11/2010
99|IN 11/2014
134|IN 11/2016
133|IN 12/2010
99|IN 13/2009
120|IN 19/2017
118|IN 20/2017
118|IN 21/2017
99|IN 22/2017
134|IN 23/2018
97|IN 24/2018
134|IN 25/2018
134|IN 26/2018
2|IN 27/2018
74|IN 28/2018
57|IN 02/2008
74|Portaria 540/1997
166|PRTC 02/2018
14|PRTC 133/2014
107|PRTC 01/2014
123|PRTC 370/2014
14|PRTC 950/2018
23|Portaria 107/2014
110|Portaria 1113/2013
74|Portaria 120/1999
23|Portaria 1244/2017
44|Portaria 1245/2017
110|Portaria 1282/2012
65|Portaria 130/1999
74|Portaria 131/1999
160|Portaria 1577/2008
23|Portaria 1693/2013
73|Portaria 177/1999
49|Portaria 1856/2017
109|Portaria 185/1999
66|Portaria 193/1999
50|Portaria 256/2014
50|Portaria 259/2014
123|Portaria 26/1999
157|Portaria 2982/2011
123|Portaria 337/1999
74|Portaria 376/1999
65|Portaria 377/1999
74|Portaria 379/1999
147|Portaria 387/2018
160|Portaria 422/2008
162|Portaria 523/2017
85|Portaria 06/1999
152|Portaria 748-A/2012
152|Portaria 748-B/2012
160|Portaria 849/2009
105|Portaria 963/2013
71|Portaria 36/1998
123|Portaria 802/1998
105|Portaria 86/1995
147|RDC 01/2000
110|RDC 01/2003
118|RDC 01/2008
109|RDC 01/2010
109|RDC 01/2012
145|RDC 01/2015
74|RDC 02/2001
74|RDC 02/2002
74|RDC 02/2004
105|RDC 02/2012
110|RDC 02/2013
145|RDC 02/2014
74|RDC 03/1999
74|RDC 03/2001
35|RDC 03/2002
147|RDC 03/2003
74|RDC 03/2007
157|RDC 03/2008
100|RDC 03/2011
115|RDC 03/2012
159|RDC 03/2014
120|RDC 04/2000
74|RDC 04/2007
147|RDC 04/2008
147|RDC 04/2010
100|RDC 04/2011
115|RDC 04/2014
152|RDC 05/2005
74|RDC 05/2007
138|RDC 05/2008
147|RDC 05/2010
100|RDC 05/2011
120|RDC 06/2003
154|RDC 06/2007
74|RDC 06/2008
57|RDC 07/2007
74|RDC 07/2008
70|RDC 07/2011
112|RDC 07/2013
147|RDC 07/2014
43|RDC 08/2007
74|RDC 08/2008
112|RDC 08/2013
85|RDC 08/2015
24|RDC 09/2000
120|RDC 09/2001
147|RDC 09/2007
91|RDC 09/2008
146|RDC 09/2013
24|RDC 100/2000
55|RDC 101/2001
120|RDC 102/2000
74|RDC 103/2000
118|RDC 103/2003
85|RDC 103/2016
145|RDC 104/2016
106|RDC 106/2003
106|RDC 107/2003
52|RDC 108/2000
115|RDC 10/1999
120|RDC 10/2001
111|RDC 10/2007
21|RDC 10/2008
145|RDC 10/2009
112|RDC 10/2010
120|RDC 10/2011
110|RDC 10/2013
56|RDC 10/2014
145|RDC 111/2005
147|RDC 112/2004
145|RDC 112/2006
147|RDC 114/2016
115|RDC 117/2001
122|RDC 118/2001
74|RDC 11/2002
109|RDC 11/2007
147|RDC 11/2008
145|RDC 11/2010
147|RDC 11/2011
110|RDC 11/2013
57|RDC 11/2014
145|RDC 11/2015
102|RDC 120/2002
120|RDC 120/2016
147|RDC 121/2003
73|RDC 122/2001
73|RDC 123/2001
147|RDC 123/2005
73|RDC 124/2001
105|RDC 124/2004
145|RDC 125/2005
120|RDC 126/2005
145|RDC 127/2016
115|RDC 128/2002
123|RDC 12/2001
74|RDC 12/2002
147|RDC 12/2007
74|RDC 12/2008
147|RDC 12/2009
138|RDC 12/2010
79|RDC 130/2003
127|RDC 131/2001
120|RDC 132/2003
147|RDC 132/2016
103|RDC 133/2001
120|RDC 133/2003
123|RDC 134/2001
120|RDC 134/2003
162|RDC 134/2017
